61;2020-11-25;Volkswagen Phaeton  I Рестайлинг 4-Seater;volkswagen;phaeton;3.6 л / 280 л.с. / Бензин;автомат;полный;чёрный;2013;138 309 км;775 000 ₽
62;2020-11-25;Mercedes-Benz V-Класс XL II 250 d экстра длинный;mercedes;v_klasse;2.1 л / 190 л.с. / Дизель;автомат;полный;чёрный;2019;23 км;23 000 000 ₽
63;2020-11-25;Audi S6 IV (C7) Рестайлинг;audi;s6;4.0 л / 450 л.с. / Бензин;робот;полный;синий;2015;83 000 км;2 700 000 ₽
64;2020-11-25;BMW 3 серии  VI (F3x) 320d xDrive;bmw;3er;2.0 л / 184 л.с. / Дизель;автомат;полный;белый;2012;181 500 км;989 000 ₽
65;2020-11-25;Mercedes-Benz G-Класс AMG  II (W463) 63 AMG;mercedes;g_klasse_amg;4.0 л / 585 л.с. / Бензин;автомат;полный;чёрный;2020;33 км;28 900 000 ₽
66;2020-11-25;Chevrolet Tahoe  III 6AT;chevrolet;tahoe;5.3 л / 324 л.с. / Бензин;автомат;полный;белый;2012;117 000 км;1 410 000 ₽
67;2020-11-25;Hyundai i40 I Рестайлинг;hyundai;i40;2.0 л / 150 л.с. / Бензин;автомат;передний;белый;2015;75 000 км;995 000 ₽
68;2020-11-25;Nissan GT-R I Рестайлинг 2;nissan;gt_r;3.8 л / 540 л.с. / Бензин;робот;полный;чёрный;2016;51 248 км;4 125 000 ₽
69;2020-11-25;Audi S8 III (D4) Рестайлинг;audi;s8;4.0 л / 605 л.с. / Бензин;автомат;полный;чёрный;2016;40 000 км;5 800 000 ₽
70;2020-11-25;Mitsubishi Lancer X;mitsubishi;lancer;1.8 л / 143 л.с. / Бензин;вариатор;передний;серый;2010;131 000 км;416 000 ₽
71;2020-11-25;Kia Optima III Рестайлинг;kia;optima;2.4 л / 180 л.с. / Бензин;автомат;передний;чёрный;2015;135 000 км;872 000 ₽
72;2020-11-25;Audi A6 IV (C7) Рестайлинг;audi;a6;2.0 л / 249 л.с. / Бензин;робот;полный;серебристый;2017;42 000 км;2 750 000 ₽
73;2020-11-25;Mercedes-Benz CLS  III (C257) 450;mercedes;cls_klasse;3.0 л / 367 л.с. / Бензин;автомат;полный;серый;2019;6 100 км;5 100 000 ₽
74;2020-11-25;Toyota Fortuner II;toyota;fortuner;2.7 л / 166 л.с. / Бензин;механика;полный;чёрный;2018;57 553 км;2 253 000 ₽
75;2020-11-25;Tesla Model X  I 75D;tesla;model_x;333 л.с. / 245 кВт / Электро;автомат;полный;синий;2016;60 000 км;5 285 000 ₽
76;2020-11-25;Mercedes-Benz S-Класс AMG Long III (W222, C217) 63 AMG Long;mercedes;s_klasse_amg;5.5 л / 585 л.с. / Бензин;автомат;полный;чёрный;2014;138 959 км;3 800 000 ₽
77;2020-11-25;Toyota Camry VI (XV40) Рестайлинг;toyota;camry;3.5 л / 277 л.с. / Бензин;автомат;передний;белый;2011;200 000 км;710 000 ₽
78;2020-11-25;Mitsubishi Lancer Evolution X;mitsubishi;lancer_evolution;2.0 л / 295 л.с. / Бензин;механика;полный;серый;2008;100 000 км;1 675 000 ₽
79;2020-11-25;Volkswagen Touareg II;volkswagen;touareg;3.6 л / 249 л.с. / Бензин;автомат;полный;чёрный;2011;142 902 км;1 285 000 ₽
80;2020-11-25;Mercedes-Benz G-Класс  III (W463) 350 d;mercedes;g_klasse;2.9 л / 249 л.с. / Дизель;автомат;полный;чёрный;2020;1 км;10 800 000 ₽
81;2020-11-25;Honda Pilot II;honda;pilot;3.5 л / 257 л.с. / Бензин;автомат;полный;чёрный;2008;130 000 км;819 000 ₽
82;2020-11-25;Lexus RX  III Рестайлинг 270;lexus;rx;2.7 л / 188 л.с. / Бензин;автомат;передний;чёрный;2014;34 600 км;2 320 000 ₽
83;2020-11-25;BMW 4 серии  F32/F33/F36 420d xDrive;bmw;4;2.0 л / 184 л.с. / Дизель;автомат;полный;голубой;2014;92 275 км;1 495 000 ₽
84;2020-11-25;Ford Explorer  V Sport;ford;explorer;3.5 л / 360 л.с. / Бензин;автомат;полный;белый;2013;81 000 км;1 149 000 ₽
85;2020-11-25;Hyundai Santa Fe IV;hyundai;santa_fe;2.4 л / 188 л.с. / Бензин;автомат;полный;серый;2019;17 500 км;2 325 885 ₽
86;2020-11-25;Audi A5 Sportback II (F5);audi;a5;2.0 л / 249 л.с. / Бензин;робот;полный;зелёный;2017;41 210 км;2 363 768 ₽
87;2020-11-25;LADA (ВАЗ) 2121 (4x4) I Рестайлинг;vaz;2121;1.7 л / 83 л.с. / Бензин;механика;полный;белый;2011;89 831 км;210 517 ₽
